Wed May  5 12:03:48 2021,1,396,82783,100,16.606536865234375,80.3318862915039,0.13508282601833344,15.581600189208984,23.794382095336914,0.17580121755599976
Wed May  5 12:04:26 2021,1,796,82783,200,17.23235511779785,73.9638671875,0.18294917047023773,15.222376823425293,88.52595520019531,0.27716779708862305
Wed May  5 12:05:04 2021,1,1196,82783,300,17.510784149169922,70.800048828125,0.2161189764738083,21.63469123840332,61.196815490722656,0.268366277217865
Wed May  5 12:05:43 2021,1,1596,82783,400,17.6386775970459,68.04460906982422,0.24232234060764313,14.948690414428711,38.05207443237305,0.27721261978149414
Wed May  5 12:06:22 2021,1,1996,82783,500,17.75432777404785,65.82233428955078,0.26422378420829773,17.559581756591797,57.17626953125,0.3479965329170227
Wed May  5 12:07:01 2021,1,2396,82783,600,17.783233642578125,63.76532745361328,0.28082168102264404,16.48995018005371,72.58113098144531,0.3436852991580963
Wed May  5 12:07:40 2021,1,2796,82783,700,17.676250457763672,62.220218658447266,0.2950761914253235,18.269405364990234,107.21112060546875,0.3946624994277954
Wed May  5 12:08:20 2021,1,3196,82783,800,17.63081169128418,60.789588928222656,0.3062886595726013,17.85207748413086,36.362403869628906,0.399600625038147
Wed May  5 12:09:00 2021,1,3596,82783,900,17.594608306884766,59.843135833740234,0.3134223520755768,19.168949127197266,33.057674407958984,0.41044989228248596
Wed May  5 12:09:40 2021,1,3996,82783,1000,17.530311584472656,59.20635223388672,0.3167199194431305,19.467777252197266,18.210803985595703,0.3064872622489929
Wed May  5 12:10:21 2021,1,4396,82783,1100,17.46944808959961,58.60556411743164,0.3198293447494507,16.33937644958496,68.88850402832031,0.3076321482658386
Wed May  5 12:11:01 2021,1,4796,82783,1200,17.482555389404297,58.02916717529297,0.3220430910587311,16.53857421875,41.977294921875,0.3453857898712158
Wed May  5 12:11:42 2021,1,5196,82783,1300,17.447755813598633,57.166378021240234,0.32361286878585815,17.21141815185547,47.3406867980957,0.3629240393638611
Wed May  5 12:12:23 2021,1,5596,82783,1400,17.46154022216797,55.86874771118164,0.32608553767204285,19.682039260864258,31.18581199645996,0.5833785533905029
Wed May  5 12:13:04 2021,1,5996,82783,1500,17.43648910522461,54.312171936035156,0.3286095857620239,17.212007522583008,51.627445220947266,0.3576897382736206
Wed May  5 12:13:45 2021,1,6396,82783,1600,17.41501808166504,52.830257415771484,0.3312244713306427,18.588726043701172,25.303630828857422,0.7116944789886475
Wed May  5 12:14:27 2021,1,6796,82783,1700,17.40660858154297,51.48701858520508,0.33313488960266113,11.434901237487793,10.231637954711914,0.15381810069084167
Wed May  5 12:15:08 2021,1,7196,82783,1800,17.399568557739258,50.215850830078125,0.3352130949497223,10.250587463378906,15.746655464172363,0.14710427820682526
Wed May  5 12:15:49 2021,1,7596,82783,1900,17.378726959228516,49.121395111083984,0.33667388558387756,13.81832504272461,17.87529182434082,0.15633448958396912
Wed May  5 12:16:31 2021,1,7996,82783,2000,17.392833709716797,48.10105514526367,0.3381038308143616,18.179521560668945,43.49921417236328,0.4238661825656891
Wed May  5 12:17:12 2021,1,8396,82783,2100,17.373201370239258,46.86846923828125,0.34026268124580383,23.404930114746094,20.299440383911133,0.3302574157714844
Wed May  5 12:17:54 2021,1,8796,82783,2200,17.367706298828125,45.823387145996094,0.3416633903980255,16.658376693725586,21.679996490478516,0.4131528437137604
Wed May  5 12:18:35 2021,1,9196,82783,2300,17.35984230041504,44.67196273803711,0.3436007499694824,23.582971572875977,26.81077766418457,0.45924293994903564
Wed May  5 12:19:16 2021,1,9596,82783,2400,17.3630428314209,44.448814392089844,0.3443931043148041,17.67122459411621,60.95172119140625,0.39576292037963867
Wed May  5 12:19:57 2021,1,9996,82783,2500,17.353431701660156,43.86200714111328,0.3457895517349243,20.17682647705078,14.213165283203125,0.8115143179893494
Wed May  5 12:20:39 2021,1,10396,82783,2600,17.345714569091797,43.070926666259766,0.3472391366958618,12.046823501586914,9.075410842895508,0.19596706330776215
Wed May  5 12:21:20 2021,1,10796,82783,2700,17.361278533935547,42.3202018737793,0.34872859716415405,12.11178207397461,11.630220413208008,0.19883789122104645
Wed May  5 12:22:02 2021,1,11196,82783,2800,17.35456085205078,41.69849395751953,0.3496166169643402,17.523683547973633,13.769073486328125,0.3290335536003113
Wed May  5 12:22:43 2021,1,11596,82783,2900,17.360607147216797,41.06084442138672,0.3506820499897003,18.690601348876953,54.02653121948242,0.4431512951850891
Wed May  5 12:23:24 2021,1,11996,82783,3000,17.361156463623047,40.35676956176758,0.3519396483898163,17.816024780273438,13.79818058013916,0.31778109073638916
Wed May  5 12:24:06 2021,1,12396,82783,3100,17.36008644104004,39.58808898925781,0.3534054160118103,18.540172576904297,16.901878356933594,0.38111257553100586
Wed May  5 12:24:47 2021,1,12796,82783,3200,17.357677459716797,38.864376068115234,0.354674369096756,19.486591339111328,16.781803131103516,0.5573462247848511
Wed May  5 12:25:29 2021,1,13196,82783,3300,17.356380462646484,38.15178680419922,0.35592374205589294,21.426502227783203,23.87710952758789,0.47472506761550903
Wed May  5 12:26:11 2021,1,13596,82783,3400,17.358722686767578,37.487831115722656,0.35727834701538086,16.195087432861328,14.77804183959961,0.8060649633407593
Wed May  5 12:26:52 2021,1,13996,82783,3500,17.35477066040039,36.879150390625,0.35819652676582336,11.925725936889648,6.536568641662598,0.15047264099121094
Wed May  5 12:27:34 2021,1,14396,82783,3600,17.346420288085938,36.740333557128906,0.3584124445915222,18.30809783935547,12.722886085510254,0.23186799883842468
