Wed May  5 01:24:29 2021,1,400,82783,100,18.751468658447266,105.97708892822266,0.2235034853219986,16.759281158447266,49.919490814208984,0.3877290189266205
Wed May  5 01:24:59 2021,1,800,82783,200,19.447755813598633,66.25003051757812,0.3741793632507324,17.10845184326172,18.26581573486328,0.5687071084976196
Wed May  5 01:25:29 2021,1,1200,82783,300,19.386674880981445,49.61137008666992,0.44151571393013,17.456336975097656,13.583433151245117,0.5947816371917725
Wed May  5 01:25:59 2021,1,1600,82783,400,19.23636245727539,40.48529052734375,0.47785788774490356,18.89820098876953,11.825478553771973,0.6135399341583252
Wed May  5 01:26:30 2021,1,2000,82783,500,19.163198471069336,34.63134002685547,0.5000767707824707,16.148948669433594,17.155384063720703,0.540339469909668
Wed May  5 01:27:01 2021,1,2400,82783,600,18.96587371826172,30.603538513183594,0.515134334564209,15.376100540161133,8.969627380371094,0.6094970703125
Wed May  5 01:27:32 2021,1,2800,82783,700,18.802818298339844,27.535837173461914,0.5258289575576782,20.612346649169922,9.012822151184082,0.6081610918045044
Wed May  5 01:28:02 2021,1,3200,82783,800,18.63930320739746,25.23879051208496,0.5337539315223694,15.202330589294434,7.744024753570557,0.5781129598617554
Wed May  5 01:28:33 2021,1,3600,82783,900,18.512561798095703,23.338956832885742,0.5398459434509277,16.277057647705078,8.088427543640137,0.6108950972557068
Wed May  5 01:29:04 2021,1,4000,82783,1000,18.347801208496094,21.793838500976562,0.5447826385498047,19.542043685913086,6.037784576416016,0.5858873724937439
Wed May  5 01:29:34 2021,1,4400,82783,1100,18.229103088378906,20.48590850830078,0.5486876964569092,16.621931076049805,7.327557563781738,0.5884585976600647
Wed May  5 01:30:05 2021,1,4800,82783,1200,18.084890365600586,19.37445640563965,0.5519547462463379,15.43524169921875,6.49893045425415,0.5883514881134033
Wed May  5 01:30:35 2021,1,5200,82783,1300,17.966991424560547,18.42437744140625,0.5544165968894958,15.848193168640137,7.155203342437744,0.5601311922073364
Wed May  5 01:31:06 2021,1,5600,82783,1400,17.850509643554688,17.591882705688477,0.5564662218093872,15.275373458862305,6.878469467163086,0.566665768623352
Wed May  5 01:31:37 2021,1,6000,82783,1500,17.74236488342285,16.876689910888672,0.558027446269989,16.037336349487305,6.708056449890137,0.580890417098999
Wed May  5 01:32:08 2021,1,6400,82783,1600,17.62989044189453,16.2316951751709,0.5593480467796326,15.71946907043457,6.973820686340332,0.5710899829864502
Wed May  5 01:32:38 2021,1,6800,82783,1700,17.51702880859375,15.662124633789062,0.5604148507118225,18.056041717529297,7.304733753204346,0.5887781381607056
Wed May  5 01:33:09 2021,1,7200,82783,1800,17.415496826171875,15.14845085144043,0.5612938404083252,19.619712829589844,5.239201068878174,0.5768529176712036
Wed May  5 01:33:40 2021,1,7600,82783,1900,17.320301055908203,14.692537307739258,0.5620687007904053,12.5446195602417,6.987586498260498,0.5612176656723022
Wed May  5 01:34:11 2021,1,8000,82783,2000,17.218402862548828,14.275185585021973,0.5626556277275085,15.902892112731934,5.757901668548584,0.5808160901069641
Wed May  5 01:34:42 2021,1,8400,82783,2100,17.125804901123047,13.89121150970459,0.5632407069206238,17.421194076538086,5.182034492492676,0.5796127915382385
Wed May  5 01:35:13 2021,1,8800,82783,2200,17.02967071533203,13.543014526367188,0.5636551976203918,14.563285827636719,5.639760971069336,0.5844218730926514
Wed May  5 01:35:43 2021,1,9200,82783,2300,16.94400405883789,13.224663734436035,0.5640029311180115,15.306076049804688,7.0285820960998535,0.5735557675361633
Wed May  5 01:36:14 2021,1,9600,82783,2400,16.847137451171875,12.924701690673828,0.5643191337585449,16.529376983642578,6.3833537101745605,0.5635331869125366
Wed May  5 01:36:45 2021,1,10000,82783,2500,16.768054962158203,12.65354061126709,0.5645906329154968,15.104219436645508,5.291097640991211,0.5824349522590637
Wed May  5 01:37:19 2021,1,10400,82783,2600,16.679777145385742,12.400556564331055,0.5647377967834473,14.51795768737793,5.68689489364624,0.5670785903930664
Wed May  5 01:37:58 2021,1,10800,82783,2700,16.60327911376953,12.164093971252441,0.5648393630981445,12.175104141235352,6.161019802093506,0.5576366186141968
Wed May  5 01:38:37 2021,1,11200,82783,2800,16.529226303100586,11.948640823364258,0.5648884773254395,13.704314231872559,6.188716888427734,0.5598764419555664
Wed May  5 01:39:15 2021,1,11600,82783,2900,16.44584846496582,11.74339771270752,0.5649152398109436,14.638545989990234,5.7604498863220215,0.559491753578186
Wed May  5 01:39:53 2021,1,12000,82783,3000,16.36705780029297,11.551094055175781,0.5649168491363525,12.877256393432617,6.650079727172852,0.5647882223129272
Wed May  5 01:40:31 2021,1,12400,82783,3100,16.293685913085938,11.370863914489746,0.5648660063743591,14.720986366271973,5.487758636474609,0.5699213743209839
Wed May  5 01:41:09 2021,1,12800,82783,3200,16.23165512084961,11.205514907836914,0.5648024082183838,16.453502655029297,5.825039863586426,0.5662081241607666
Wed May  5 01:41:47 2021,1,13200,82783,3300,16.16343879699707,11.042901039123535,0.5647584199905396,14.042695999145508,5.312170505523682,0.5492349863052368
Wed May  5 01:42:26 2021,1,13600,82783,3400,16.097463607788086,10.887430191040039,0.5646780133247375,11.843927383422852,5.453161716461182,0.5678021907806396
Wed May  5 01:43:04 2021,1,14000,82783,3500,16.032007217407227,10.74455451965332,0.5645530819892883,14.882545471191406,5.751596450805664,0.5445008277893066
Wed May  5 01:43:42 2021,1,14400,82783,3600,15.967823028564453,10.60629653930664,0.5644040107727051,16.03968048095703,5.451079368591309,0.5558884143829346
